"XCoord","YCoord","YearBuilt","Floors","PlotArea","PlotFront","PlotDepth","BuildingArea","ResidentialArea","CommercialArea","OfficeArea","IndustrialArea","LandValue","TotalValue","HeatingCost"
"21",24812.421189053,24867.668844061,1791,5,350,10,35,1400,1400,0,0,0,125293.926519225,4530668.86575834,37581.8879624091
"37",25010.9221071839,24880.0143892877,1811,5,384,12,32,1881,1454,0,427,0,132089.345231652,6234526.28665965,49834.8123032413
"38",24922.6997365379,25193.0230516009,1798,5,380,19,20,1862,0,1862,0,0,130297.563844593,6342685.95522994,50535.5041237956
"45",25242.8949850099,24902.3631464224,1812,5,315,15,21,1260,0,1260,0,0,141493.427146983,4302358.62584651,32597.927090412
"71",25219.3776142451,25086.8942427915,1781,5,372,12,31,1627,1369,258,0,0,121178.543798765,6067592.44435391,45576.92663196
"72",24966.7257846894,25120.3807645943,1823,4,364,14,26,1164,1164,0,0,0,111682.891970733,4331217.003325,31499.4186506479
"78",25124.4168039533,25105.8195603546,1827,4,325,13,25,1040,1040,0,0,0,120861.713012564,3736722.29328181,28016.8617991515
"105",25151.2295863397,24825.39651962,1821,3,372,12,31,1056,1056,0,0,0,113165.059773205,3653865.29340441,26796.5099324518
"145",25203.3718931341,24902.4262139574,1796,5,360,18,20,1440,1440,0,0,0,111434.093838092,5345038.93634258,38950.1231571157
"153",25093.2593750257,24780.0892330706,1807,4,324,12,27,1270,1032,238,0,0,140392.195577687,4609206.13849496,33270.7420885103
"187",25048.7954751785,24749.4441205636,1805,5,364,13,28,1746,1746,0,0,0,133912.050384097,5671698.35467986,45466.2142633955
"196",24862.795298683,25240.2355070226,1824,4,320,16,20,1254,798,456,0,0,113646.120708436,4325728.7657921,32030.1408036945
"204",24929.2515322216,25028.4626595676,1813,4,315,21,15,1008,836,0,172,0,134147.823100677,3645454.73656445,26534.7184337185
"208",24927.1215773331,25131.5824957564,1807,3,352,11,32,913,913,0,0,0,150624.477185681,3082597.5628906,24002.9286657198
"212",25225.2156092272,24970.2425091527,1798,5,364,13,28,1460,0,1460,0,0,137773.207593849,5284474.74876922,39452.8828095343
"258",25139.8095093685,24809.2547378037,1805,3,357,17,21,856,856,0,0,0,108655.045216321,2973650.05164163,21683.7355913517
"277",25147.2800240049,24953.606488416,1811,4,378,18,21,1481,0,1481,0,0,121388.730471139,5172306.84951023,39939.8585575133
"316",25048.5010704254,24771.390465321,1830,4,340,10,34,1332,843,489,0,0,115483.923801687,4686460.34415029,32233.3778686945
"321",24976.593796486,25001.6527832486,1790,4,336,12,28,1075,1075,0,0,0,135195.003418252,4002138.62396812,28997.7167985865
"330",25180.9920728242,25159.7330246586,1785,3,360,10,36,864,864,0,0,0,119934.48608648,3182962.97638547,24265.9516542019
"361",24936.9636220708,24862.908493029,1797,5,348,12,29,1392,1074,0,318,0,146792.40300497,4972808.6562532,36937.8155056409
"378",25105.5911399778,24892.8756827954,1802,5,342,19,18,1368,1368,0,0,0,153691.681475937,4714063.60575389,35945.5586799765
"382",24985.7135045057,25123.1214639265,1821,3,360,12,30,1058,292,0,766,0,110374.817422125,3689530.84495629,26924.4561146815
"409",24987.307721037,24718.1074228138,1807,4,377,13,29,1278,1278,0,0,0,156922.31033229,4679136.98493006,33297.164684848
"437",24822.9805406821,24956.7765954416,1796,5,315,15,21,1260,1260,0,0,0,112900.295240222,4694473.1864155,32724.4023876889
"471",24928.2863143549,25140.9146413207,1826,5,363,11,33,1621,1621,0,0,0,118155.998899997,5496529.18506165,42870.9489588249
"494",25023.2567345852,25173.2495867182,1803,3,378,18,21,1111,1111,0,0,0,115451.21315557,4075869.60690633,29752.3191991977
"548",25026.2107512685,25100.9584895801,1818,4,310,10,31,992,739,0,253,0,138070.681438199,3218239.83702583,25887.7546752281
"572",24975.0030208805,25275.8007359225,1813,5,390,10,39,1560,1149,0,411,0,131391.400379827,5140681.95947888,38047.6081332984
"606",24852.9040914286,25238.3632601704,1807,4,288,12,24,990,990,0,0,0,102899.67164956,3560664.70353201,26742.7007155065
"629",25160.5702900045,25250.613380922,1803,5,357,17,21,1749,1749,0,0,0,151735.612975981,5813971.68920583,44710.1269590369
"666",24975.8943358417,25137.3190514278,1820,4,351,13,27,1123,983,0,140,0,127811.182118906,3659147.66039348,29574.8938336688
"675",25078.3999243436,24750.6126186345,1826,5,325,13,25,1458,1458,0,0,0,119797.533520614,4874290.12428049,37725.4953350604
"681",25044.1767492151,25123.6193357036,1796,4,348,12,29,1168,1168,0,0,0,115827.172020636,4212549.72943012,31107.4373195993
"683",25055.817468792,25077.2743569687,1795,4,380,10,38,1489,1489,0,0,0,134738.228350645,4905380.34098599,40196.2024641555
"713",24968.6701638912,24740.8709898591,1807,4,364,13,28,1426,1426,0,0,0,110041.266793991,5090804.5569916,36779.4285868776
"773",24966.0337184999,24960.9195298981,1804,4,275,11,25,880,690,190,0,0,101656.552167842,2956232.29322792,23934.246857643
