"","buyer_id","orderdate","buyer_age","buyer_gender","buyer_annual_income","shop","packaging","city","article_group","article","article_price","recipient_age","recipient_gender","recipient_relation"
"1","615",2017-08-21 11:33:01,43,"female",28000,"store","no","Münster","books","Fiction",10.99,31,"male","cousin"
"2","333",2017-12-14 10:14:46,34,"male",33500,"store","no","Münster","disks","TV serial - DVD",10.99,32,"male","friend"
"3","216",2017-01-18 11:42:11,29,"female",37500,"online","no","Köln","books","Biographies",11.99,48,"female","mother"
"4","494",2017-02-17 17:41:24,39,"male",37000,"store","yes","Münster","disks","Music-Album - CD",11.99,22,"female","friend"
"5","565",2017-02-19 10:55:24,41,"male",45500,"online","no","Düsseldorf","disks","Other disks",11.99,23,"female","other"
"6","397",2017-05-26 03:15:19,36,"other",26000,"online","no","Osnabrück","disks","TV serial - DVD",11.99,50,"male","undefined"
"7","772",2017-06-21 11:16:39,48,"female",29500,"store","no","Münster","disks","Other disks",11.99,81,"female","mother"
"8","39",2017-12-18 17:40:36,21,"male",24500,"store","yes","Osnabrück","books","Mystery",11.99,50,"female","aunt"
"9","499",2017-12-19 15:13:34,39,"male",40500,"online","yes","Münster","disks","TV serial - DVD",11.99,54,"female","friend"
"10","234",2017-12-19 18:23:57,30,"female",26500,"store","no","Düsseldorf","books","Other books",11.99,30,"male","boyfriend"
"11","81",2017-11-13 10:00:50,23,"male",36000,"store","yes","Münster","disks","Music-Album - CD",12.99,7,"male","friend"
"12","145",2017-01-14 08:54:10,26,"male",31500,"store","yes","Münster","disks","TV serial - DVD",13.99,44,"male","other"
"13","27",2017-04-16 03:49:03,20,"female",32000,"online","yes","Münster","disks","Movie - Blu Ray",13.99,93,"male","uncle"
"14","880",2017-11-23 15:24:11,51,"female",51000,"store","no","Münster","disks","TV serial - DVD",13.99,27,"male","friend"
"15","527",2017-12-08 23:09:04,40,"female",38000,"online","no","Münster","disks","TV serial - DVD",13.99,11,"female","daughter"
"16","935",2017-05-12 04:39:57,53,"male",43500,"online","no","Köln","disks","Other disks",14.99,40,"male","friend"
"17","24",2017-06-12 09:40:27,20,"male",30000,"online","yes","Münster","disks","Other disks",14.99,51,"female","mother"
"18","144",2017-06-19 17:34:49,26,"female",31000,"online","no","Köln","disks","Music-Album - CD",14.99,51,"male","friend"
"19","4",2017-11-20 12:04:16,19,"female",30500,"store","no","Osnabrück","books","Fiction",14.99,19,"female","sister"
"20","235",2017-01-16 03:58:09,30,"female",29500,"online","no","Dortmund","disks","Music-Album - CD",15.99,59,"male","uncle"
"21","1260",2017-07-13 23:46:19,64,"male",49000,"online","yes","Paderborn","disks","Other disks",15.99,40,"female","daughter"
"22","592",2017-07-20 10:54:28,42,"female",36500,"store","no","Münster","books","Fantasy & Science Fiction",15.99,88,"male","father"
"23","617",2017-02-16 12:31:17,43,"female",32000,"online","no","Münster","books","Fiction",16.99,58,"female","friend"
"24","92",2017-02-19 12:51:27,24,"male",26000,"store","yes","Münster","disks","Other disks",16.99,44,"female","mother"
"25","233",2017-05-15 17:24:11,30,"other",26000,"online","no","Münster","disks","Music-Album - CD",16.99,73,"male","undefined"
"26","217",2017-07-12 11:53:44,29,"female",38500,"online","no","Bielefeld","disks","Movie - DVD",16.99,15,"other","undefined"
"27","402",2017-08-18 01:51:52,36,"male",34000,"online","yes","Bielefeld","disks","Music-Album - CD",16.99,26,"female","cousin"
"28","96",2017-10-12 18:23:28,24,"female",31000,"online","yes","Essen","disks","Music-Album - CD",16.99,47,"male","father"
"29","470",2017-11-08 17:47:55,38,"male",42000,"online","yes","Bielefeld","books","Crime Thrillers",16.99,63,"female","mother"
"30","586",2017-12-11 22:18:16,42,"male",30000,"online","yes","Paderborn","disks","Music-Album - CD",16.99,57,"male","cousin"
"31","172",2017-12-23 09:39:15,27,"male",34500,"store","yes","Münster","disks","Movie - Blu Ray",16.99,24,"male","brother"
"32","303",2017-02-19 06:40:41,33,"male",25500,"online","yes","Hannover","books","Other books",17.99,19,"male","cousin"
"33","286",2017-07-14 15:59:46,32,"male",32500,"store","yes","Münster","disks","Movie - DVD",17.99,62,"male","father"
"34","763",2017-08-14 16:03:17,47,"female",55000,"online","no","Münster","books","Biographies",17.99,33,"female","friend"
"35","26",2017-12-05 15:24:09,20,"other",31000,"store","yes","Münster","disks","TV serial - Blu Ray",17.99,47,"male","undefined"
"36","499",2017-02-09 14:53:36,316,"male",40500,"online","yes","Köln","books","Fantasy & Science Fiction",18.99,24,"male","cousin"
"37","561",2017-06-06 06:14:28,41,"male",41000,"online","yes","Köln","books","Fiction",18.99,56,"male","friend"
"38","803",2017-09-18 18:58:58,49,"female",41000,"store","yes","Düsseldorf","disks","Movie - Blu Ray",18.99,42,"female","friend"
"39","306",2017-10-20 11:08:05,33,"female",27000,"store","yes","Düsseldorf","books","Fantasy & Science Fiction",18.99,84,"female","aunt"
"40","336",2017-11-14 09:46:11,34,"female",36000,"online","no","Düsseldorf","disks","Music-Album - CD",18.99,56,"female","mother"
"41","149",2017-11-20 19:25:51,26,"female",35000,"online","no","Münster","books","Crime Thrillers",18.99,48,"male","friend"
"42","221",2017-01-06 13:16:09,29,"female",40500,"online","no","Dortmund","disks","Movie - DVD",19.99,11,"male","other"
"43","494",2017-05-14 23:57:16,39,"male",37000,"online","no","Gelsenkirchen","disks","TV serial - Blu Ray",19.99,49,"female","friend"
"44","692",2017-10-17 21:53:21,45,"female",49500,"online","no","Essen","books","Crime Thrillers",19.99,63,"female","other"
"45","319",2017-02-13 11:44:18,33,"male",42000,"store","no","Hannover","books","Fiction",20.99,40,"male","friend"
"46","408",2017-06-13 00:26:04,36,"male",40000,"online","no","Paderborn","books","Fiction",20.99,47,"male","brother"
"47","15",2017-06-27 11:42:15,19,"male",38000,"online","yes","Düsseldorf","disks","Other disks",20.99,42,"female","mother"
"48","130",2017-07-22 23:37:11,25,"male",41000,"online","yes","Düsseldorf","books","Religion",20.99,25,"male","brother"
"49","871",2017-11-05 09:45:20,51,"female",41500,"store","yes","Düsseldorf","disks","TV serial - Blu Ray",20.99,75,"male","father"
"50","1449",2017-11-16 16:05:56,75,"female",45500,"online","no","Paderborn","disks","TV serial - Blu Ray",20.99,22,"female","friend"
"51","284",2017-12-17 03:58:23,32,"female",31000,"online","no","Gelsenkirchen","disks","TV serial - Blu Ray",20.99,38,"female","friend"
"52","885",2017-09-19 19:51:39,51,"male",55000,"online","yes","Paderborn","books","Fantasy & Science Fiction",21.99,86,"male","father"
"53","1005",2017-12-14 16:33:38,55,"female",45000,"store","yes","Düsseldorf","disks","Movie - Blu Ray",21.99,41,"female","friend"
"54","997",2017-12-21 04:04:23,55,"male",34500,"online","no","Bielefeld","disks","Other disks",21.99,51,"male","brother"
"55","929",2017-02-08 14:23:20,53,"male",39000,"online","yes","Gelsenkirchen","disks","TV serial - DVD",22.99,52,"male","friend"
"56","366",2017-08-06 18:58:06,35,"other",34000,"store","no","Münster","books","Fiction",22.99,52,"female","undefined"
"57","519",2017-11-21 16:38:05,40,"female",26000,"store","no","Münster","books","Crime Thrillers",22.99,30,"female","friend"
"58","22",2017-12-12 16:13:47,20,"male",29000,"online","yes","Hannover","books","Fiction",22.99,53,"female","aunt"
"59","307",2017-12-17 08:49:19,33,"male",29000,"online","no","Paderborn","books","Fiction",22.99,44,"male","brother"
"60","406",2017-02-13 10:22:35,36,"other",36500,"store","yes","Münster","disks","Movie - DVD",23.99,56,"female","undefined"
"61","1116",2017-11-15 08:09:48,59,"male",39500,"store","yes","Hannover","books","Fiction",23.99,73,"male","friend"
"62","603",2017-12-09 19:59:03,42,"other",48000,"store","yes","Osnabrück","disks","Movie - Blu Ray",23.99,90,"male","undefined"
"63","794",2017-12-16 15:52:37,48,"male",56000,"store","yes","Düsseldorf","disks","TV serial - Blu Ray",23.99,59,"female","sister"
"64","318",2017-12-21 19:19:04,33,"male",41500,"store","yes","Münster","disks","TV serial - DVD",23.99,50,"female","friend"
"65","1296",2017-02-25 08:55:46,66,"male",31000,"online","yes","Münster","disks","TV serial - DVD",24.99,39,"female","niece"
"66","743",2017-07-14 16:57:27,47,"male",37000,"store","no","Münster","books","Mystery",24.99,46,"female","friend"
"67","805",2017-09-18 13:46:51,49,"female",42500,"store","no","Münster","disks","TV serial - Blu Ray",24.99,61,"male","friend"
"68","813",2017-12-17 00:00:09,49,"female",49000,"online","yes","Gelsenkirchen","books","Travel & Adventure",24.99,57,"female","sister"
"69","81",2017-01-10 19:36:32,23,"male",36000,"online","yes","Dortmund","disks","Movie - DVD",25.99,32,"female","friend"
"70","672",2017-02-15 03:19:00,44,"female",52000,"online","no","Münster","books","Fiction",25.99,43,"male","boyfriend"
"71","492",2017-04-17 05:10:01,39,"female",35500,"online","no","Köln","books","Crime Thrillers",25.99,27,"female","friend"
"72","1135",2017-08-22 00:02:53,59,"other",65000,"online","no","Dortmund","books","Biographies",25.99,47,"male","undefined"
"73","342",2017-11-04 15:41:59,34,"male",40500,"store","yes","Hannover","disks","TV serial - DVD",25.99,62,"male","father"
"74","1030",2017-12-18 12:25:21,56,"female",44000,"store","no","Hannover","disks","Movie - Blu Ray",25.99,40,"female","cousin"
"75","655",2017-07-18 06:40:40,44,"female",36500,"online","yes","Osnabrück","books","Fantasy & Science Fiction",26.99,65,"female","mother"
"76","1319",2017-08-07 21:41:42,67,"female",47500,"online","yes","Dortmund","disks","TV serial - Blu Ray",26.99,49,"female","other"
"77","1435",2017-08-11 19:37:59,74,"female",44500,"online","no","Gelsenkirchen","disks","TV serial - DVD",26.99,25,"female","niece"
"78","260",2017-08-19 03:09:24,31,"female",33000,"online","no","Gelsenkirchen","books","Mystery",26.99,59,"male","uncle"
"79","595",2017-09-20 19:36:48,42,"female",38000,"store","yes","Münster","books","Fantasy & Science Fiction",26.99,65,"female","friend"
"80","242",2017-10-15 13:12:12,30,"female",37000,"store","yes","Düsseldorf","disks","Movie - Blu Ray",26.99,23,"male","cousin"
"81","297",2017-10-15 20:28:17,32,"female",45000,"online","no","Essen","disks","TV serial - DVD",26.99,78,"male","uncle"
"82","310",2017-01-13 07:23:35,33,"male",33500,"online","no","Münster","disks","Music-Album - CD",27.99,52,"female","aunt"
"83","190",2017-02-14 19:31:04,28,"female",27000,"store","no","Münster","disks","Movie - Blu Ray",27.99,42,"male","cousin"
"84","598",2017-04-11 15:58:53,42,"male",40500,"store","yes","Osnabrück","books","Mystery",27.99,48,"female","sister"
"85","1377",2017-04-23 13:45:43,70,"female",49000,"online","no","Osnabrück","books","Fiction",27.99,58,"male","cousin"
"86","293",2017-07-08 12:57:21,32,"male",40500,"online","no","Essen","books","Crime Thrillers",27.99,53,"male","uncle"
"87","558",2017-08-19 16:15:09,41,"female",38500,"store","yes","Düsseldorf","disks","Movie - Blu Ray",27.99,49,"other","undefined"
"88","52",2017-11-19 18:25:16,21,"female",47000,"store","no","Osnabrück","disks","Movie - Blu Ray",27.99,12,"male","brother"
"89","899",2017-12-10 14:27:16,52,"female",31500,"store","yes","Münster","disks","Movie - DVD",27.99,50,"male","boyfriend"
"90","1178",2017-12-15 20:08:36,61,"female",43000,"online","yes","Dortmund","books","Crime Thrillers",27.99,45,"male","cousin"
"91","237",2017-01-15 10:14:50,30,"female",32500,"online","no","Dortmund","books","Travel & Adventure",28.99,63,"female","mother"
"92","1022",2017-03-22 09:56:11,55,"male",66500,"online","yes","Osnabrück","disks","Movie - Blu Ray",28.99,35,"male","friend"
"93","1190",2017-06-15 10:34:55,61,"male",58500,"online","no","Gelsenkirchen","disks","Movie - Blu Ray",28.99,20,"male","son"
"94","102",2017-06-18 04:19:28,24,"female",36000,"online","no","Essen","disks","Movie - Blu Ray",28.99,22,"female","wife"
"95","521",2017-09-25 08:13:29,40,"male",32000,"online","yes","Münster","books","Crime Thrillers",28.99,55,"male","cousin"
"96","259",2017-12-13 11:49:31,31,"female",31500,"store","no","Hannover","disks","TV serial - DVD",28.99,74,"male","father"
"97","910",2017-12-19 14:40:53,52,"male",47500,"store","yes","Düsseldorf","books","Travel & Adventure",28.99,70,"female","other"
"98","774",2017-01-11 17:13:33,48,"other",35500,"online","yes","Essen","disks","Movie - Blu Ray",29.99,77,"female","undefined"
"99","523",2017-02-22 13:11:26,40,"female",33500,"store","yes","Münster","disks","Movie - Blu Ray",29.99,74,"male","father"
"100","1010",2017-05-19 08:59:54,55,"female",51500,"store","yes","Münster","books","Fantasy & Science Fiction",29.99,57,"female","friend"
"101","1027",2017-10-17 10:06:11,56,"female",40500,"store","no","Düsseldorf","disks","TV serial - Blu Ray",29.99,42,"female","cousin"
"102","605",2017-12-16 12:26:31,42,"female",49500,"online","no","Münster","disks","TV serial - DVD",29.99,11,"male","son"
"103","843",2017-12-17 16:05:56,50,"male",48500,"store","no","Münster","books","Mystery",29.99,67,"male","friend"
"104","493",2017-01-12 16:55:49,39,"male",36500,"store","yes","Hannover","disks","Music-Album - CD",30.99,21,"male","other"
"105","966",2017-03-21 18:07:42,54,"female",36500,"store","no","Münster","books","Religion",30.99,31,"female","daughter"
"106","688",2017-04-20 13:23:49,45,"male",42000,"store","yes","Osnabrück","books","Fantasy & Science Fiction",30.99,27,"female","other"
"107","1040",2017-05-21 22:21:51,56,"male",56500,"online","yes","Köln","disks","TV serial - Blu Ray",30.99,70,"female","cousin"
"108","787",2017-11-20 10:50:02,48,"male",48500,"store","yes","Münster","books","Fiction",30.99,26,"other","undefined"
"109","482",2017-12-19 14:58:51,38,"female",52500,"store","yes","Münster","disks","Other disks",30.99,56,"female","other"
"110","621",2017-02-16 07:44:02,43,"female",38000,"online","yes","Münster","disks","Music-Album - CD",31.99,32,"female","sister"
"111","332",2017-02-18 16:38:59,34,"female",31000,"store","no","Münster","books","Crime Thrillers",31.99,64,"female","mother"
"112","116",2017-03-12 08:42:31,25,"other",27500,"store","yes","Osnabrück","disks","Other disks",31.99,25,"female","undefined"
"113","1090",2017-05-11 09:25:20,58,"female",44500,"store","no","Münster","books","Other books",31.99,48,"male","friend"
"114","704",2017-05-15 09:10:04,46,"female",31500,"store","no","Münster","books","Other books",31.99,57,"female","sister"
"115","215",2017-06-24 19:11:07,29,"male",37000,"store","yes","Münster","disks","TV serial - DVD",31.99,30,"female","friend"
"116","664",2017-11-14 10:06:49,44,"male",46000,"store","no","Osnabrück","books","Mystery",31.99,61,"female","friend"
"117","1221",2017-11-18 10:21:29,62,"other",58000,"store","no","Hannover","books","Fiction",31.99,47,"male","undefined"
"118","43",2017-11-19 13:26:24,21,"male",33000,"store","yes","Osnabrück","books","Fiction",31.99,46,"male","friend"
"119","317",2017-11-22 10:37:31,33,"female",40500,"store","yes","Münster","books","Fiction",31.99,35,"male","brother"
